VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 

2,2016-06-19 23:49:51,2016-06-20 00:00:33,N,1,-73.951301574707031,40.689037322998047,-73.937355041503906,40.701618194580078,1,1.66,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2016-06-18 01:29:27,2016-06-18 01:59:03,N,1,-73.884590148925781,40.747676849365234,-73.986068725585937,40.767322540283203,2,5.87,24.5,0.5,0.5,6.45,0,,0.3,32.25,1,1
2,2016-06-01 00:26:32,2016-06-01 00:33:12,N,1,-73.93408203125,40.795478820800781,-73.954315185546875,40.764186859130859,1,2.97,10.5,0.5,0.5,2.95,0,,0.3,14.75,1,1
1,2016-06-11 19:20:17,2016-06-11 19:29:06,N,1,-73.95294189453125,40.823318481445312,-73.967613220214844,40.80316162109375,1,1.60,8.5,0,0.5,1.85,0,,0.3,11.15,1,1
1,2016-06-24 17:53:57,2016-06-24 18:14:26,N,1,-73.957496643066406,40.718044281005859,-73.930435180664063,40.744766235351563,1,3.70,16,1,0.5,3.55,0,,0.3,21.35,1,1
2,2016-06-02 21:26:07,2016-06-02 21:35:50,N,1,-73.844383239746094,40.721427917480469,-73.867805480957031,40.706642150878906,1,2.01,9.5,0.5,0.5,2.16,0,,0.3,12.96,1,1
2,2016-06-17 08:54:33,2016-06-17 09:06:24,N,1,-73.942955017089844,40.799259185791016,-73.960372924804688,40.806571960449219,1,1.69,9.5,0,0.5,2.06,0,,0.3,12.36,1,1
2,2016-06-03 03:59:04,2016-06-03 04:13:48,N,1,-73.957763671875,40.722480773925781,-73.982261657714844,40.740093231201172,1,4.87,16,0.5,0.5,3.46,0,,0.3,20.76,1,1
2,2016-06-17 11:30:09,2016-06-17 11:43:00,N,1,-73.929649353027344,40.697681427001953,-73.954559326171875,40.691131591796875,1,1.61,10,0,0.5,2.16,0,,0.3,12.96,1,1
1,2016-06-25 22:27:19,2016-06-25 22:37:00,N,1,-73.925392150878906,40.756618499755859,-73.923614501953125,40.776302337646484,1,1.70,8.5,0.5,0.5,2.9,0,,0.3,12.7,1,1
1,2016-06-11 16:04:08,2016-06-11 16:13:36,N,1,-73.950790405273437,40.791839599609375,-73.952949523925781,40.809322357177734,1,1.60,8.5,0,0.5,0,0,,0.3,9.3,2,1
2,2016-06-12 19:23:17,2016-06-12 19:31:11,N,1,-73.955291748046875,40.720008850097656,-73.967796325683594,40.710803985595703,1,1.17,7,0,0.5,1.56,0,,0.3,9.36,1,1
2,2016-06-11 19:33:27,2016-06-11 19:57:56,N,1,-73.858650207519531,40.735916137695312,-73.966346740722656,40.757545471191406,1,9.33,28,0,0.5,0,0,,0.3,28.8,2,1
2,2016-06-09 19:04:48,2016-06-09 19:11:54,N,1,-73.995895385742187,40.679141998291016,-74.01702880859375,40.674781799316406,1,1.61,7,1,0.5,2.2,0,,0.3,11,1,1
2,2016-06-14 09:39:38,2016-06-14 09:46:29,N,1,-73.937751770019531,40.748931884765625,-73.935707092285156,40.743068695068359,1,.84,6,0,0.5,0,0,,0.3,6.8,2,1
2,2016-06-11 07:56:54,2016-06-11 08:08:54,N,1,-73.938789367675781,40.749652862548828,-73.936531066894531,40.759780883789063,1,2.12,10,0,0,0,0,,0,10,2,2
2,2016-06-22 11:15:55,2016-06-22 11:42:27,N,1,-73.938911437988281,40.805141448974609,-73.942497253417969,40.8416748046875,1,3.44,18.5,0,0.5,0,0,,0.3,19.3,2,1
2,2016-06-14 18:49:44,2016-06-14 19:04:55,N,1,-73.992431640625,40.689506530761719,-73.959129333496094,40.680976867675781,1,2.22,11.5,1,0.5,0,0,,0.3,13.3,2,1
1,2016-06-16 09:45:01,2016-06-16 10:04:07,N,1,-73.903839111328125,40.862785339355469,-73.936744689941406,40.805324554443359,1,5.50,20,0,0.5,0,0,,0.3,20.8,2,1
